"Default","FACTU_PERIOD","FACTU_BALANCE_MEAN","FACTU_CASH_MEAN","FACTU_LIMIT_MEAN","FACTU_CYCLE_MEAN","CurrentTotalBalance","CashBalance","CreditLimit","DelqCycle","PAIES_NB","PAIES_AMT_MEAN","PAIES_AMT_MED"
0,14,7952.55857142857,3270.28142857143,15300,0,13119.6,4791.44,16200,0,13,262.615384615385,250
0,14,423.743571428571,18.3635714285714,2800,0.214285714285714,266.06,0,2800,0,9,493.848888888889,412
0,14,454.010714285714,0,5800,0,553,0,5800,0,20,339.3505,346.07
0,14,773.188571428571,0,1600,0,240.45,0,1600,0,32,350.2765625,310.98
0,14,1261.38857142857,0,3800,0,1269.45,0,3800,0,11,1302.22818181818,1238
0,14,330.505,137.392142857143,1200,0,577.83,0,1200,0,32,379.64,316.5
0,14,923.052142857143,0,3000,0.0714285714285714,1642,0,3000,1,30,381.929,227
0,14,884.316428571429,0,2600,0.0714285714285714,705.55,0,2600,0,11,919.390909090909,714.48
0,14,1774.63214285714,0,8800,0,1462.65,0,8800,0,12,551.256666666667,410
0,14,383.982857142857,0,3300,0,400.86,0,3300,0,12,389.925833333333,374.205
0,14,579.171428571429,0,20200,0,405.96,0,20200,0,11,690.405454545455,391.14
0,14,548.285,0,14435.7142857143,0,80.8,0,15900,0,14,490.547142857143,466.765
0,14,2440.765,105.923571428571,3300,0.142857142857143,3382.05,0,3300,1,23,249.51347826087,202
0,14,1027.60571428571,0,7500,0,1302.19,0,7500,0,13,1073.80692307692,651.78
0,14,364.040714285714,0,1400,0,472.5,0,1400,0,8,473.64625,463.24
0,14,575.392857142857,0,3200,0,1161,0,3200,0,24,645.8125,515
0,14,632.881428571429,0,3000,0,479.85,0,3000,0,14,413.46,301
0,14,207.292857142857,0,13700,0,931.22,0,13700,0,32,498.3878125,243.59
1,14,1897.605,74.2857142857143,5585.71428571429,0,6875.4,0,7000,0,15,609.814,328.65
0,14,394.132142857143,0,5200,0,226.72,0,5200,0,12,406.105,340.08
0,14,462.780714285714,0,1700,0,5.05,0,1700,0,12,328.270833333333,379.35
0,14,786.372857142857,0,3100,0,901.95,0,3100,0,12,747.69,691.5
0,14,290.551428571429,0,2300,0,339.36,0,2300,0,25,144.0648,110
0,14,1313.77214285714,0,2500,0,1390.48,0,2500,0,19,1032.87421052632,1060
0,14,373.373571428571,0,8500,0,496.08,0,8500,0,12,357.711666666667,353.56
0,14,790.73,0,7300,0,723.06,0,7300,0,11,752.668181818182,658.17
0,14,766.95,0,6500,0.142857142857143,445.2,0,6500,0,15,1255.20466666667,674
0,14,432.381428571429,0,13442.8571428571,0,392.2,0,13800,0,12,358.416666666667,319.98
0,14,2081.96285714286,0,11800,0.0714285714285714,1791.92,0,11800,0,20,1668.611,1614.5
0,14,1190.45928571429,0,5300,0,1847.04,0,5300,0,13,1528.17076923077,1598
0,14,1956.44142857143,0,10000,0,2152.84,0,10000,0,19,1076.89315789474,856
0,14,5048.80357142857,22.5428571428571,5128.57142857143,0,5144.85,10.4,5200,0,12,292.606666666667,289.215
0,14,540.31,0,3000,0.214285714285714,154,0,3000,0,10,712.259,287.17
0,14,903.697857142857,0,2100,0.214285714285714,707.88,0,2100,0,12,486.75,510
0,14,616.839285714286,5.91357142857143,1800,0,1200.54,0,1800,0,12,183.034166666667,175.81
0,14,1255.25285714286,0,3700,0.0714285714285714,1508,0,3700,0,14,1365.90142857143,1118.7
0,14,527.912142857143,19.5,2700,0.142857142857143,638.32,0,2700,0,12,599.0975,457.925
0,14,316.05,0,7971.42857142857,0.214285714285714,0,0,13200,0,10,347.624,365.145
0,14,3337.48714285714,0,8100,0.0714285714285714,3230.34,0,8100,0,17,2186.72235294118,2110
0,14,541.818571428571,0,1700,0,329.26,0,1700,0,13,536.557692307692,495.02
0,14,456.742857142857,0,4400,0,544,0,4400,0,12,414.1225,395.38
0,14,2361.37785714286,0,7600,0,3880.42,0,7600,0,12,2392.90166666667,2414.945
0,14,386.807142857143,0,13500,0.0714285714285714,0,0,13500,0,7,651.291428571429,589.05
0,14,250.022857142857,0,3600,0,86.7,0,3600,0,12,267.2525,169.93
0,14,336.012857142857,0,18900,0.285714285714286,211.09,0,18900,0,12,212.496666666667,161.515
0,14,319.222142857143,0,4100,0,302.94,0,4100,0,12,337.845833333333,219.79
0,14,534.583571428571,0,5500,0,484.42,0,5500,0,12,563.995,559.385
0,14,687.277142857143,0,2600,0,1398.6,0,2600,0,11,683.402727272727,724.88
0,14,1832.10714285714,0,18300,0.142857142857143,546,0,18300,0,10,1807.374,1684.6
0,14,275.131428571429,0,2342.85714285714,0,13.39,0,2500,0,39,313.863846153846,214
0,14,476.77,0,1500,0,551,0,1500,0,12,504.874166666667,549.77
0,14,169.844285714286,7.43142857142857,2414.28571428571,0,197.95,0,4500,0,12,186.663333333333,152.525
0,14,428.558571428571,0,2600,0,302.64,0,2600,0,12,463.9325,381.455
1,14,393.985,0,6700,0,710,0,6700,0,12,384.486666666667,371.03
0,14,201.254285714286,0,3800,0,414.09,0,3800,0,12,190.23,178.21
0,14,527.245714285714,15.0085714285714,9300,0,941.6,0,9300,0,12,533.646666666667,553.085
1,14,1618.235,0,5900,0.357142857142857,3609.12,0,5900,1,15,259.759333333333,300
0,14,452.422142857143,0,3000,0,329.26,0,3000,0,12,472.718333333333,477.56
0,14,176.635,0,5000,0,0,0,5000,0,10,203.253,172.32
0,14,926.561428571429,0,4200,0.0714285714285714,715.02,0,4200,0,11,492.592727272727,510
0,14,550.622857142857,0,18500,0,412.34,0,19200,0,12,601.8775,417.74
0,14,727.529285714286,0,2200,0.0714285714285714,887.03,0,2200,0,16,407.27875,246.87
0,14,4733.27142857143,153.472857142857,6957.14285714286,0.142857142857143,7375.48,416,8100,1,12,247.505,241.575
0,14,567.301428571429,0,5400,0,870.45,0,5400,0,13,567.580769230769,538.33
0,14,385.751428571429,4.97714285714286,14657.1428571429,0.0714285714285714,494,0,15300,0,11,343.054545454545,272.48
0,14,285.647142857143,0,2800,0,646.8,0,2800,0,12,276.005,259.41
0,14,38.2228571428571,0,3300,0,0,0,3300,0,16,681.10625,244.495
0,14,456.955714285714,0,1050,0,791.04,0,1300,0,23,125.24652173913,76.5
0,14,1439.64571428571,0,5800,0,1849.88,0,5800,0,12,1446.69,1254.025
0,14,2736.24785714286,0,9100,0,3704.4,0,9100,0,11,2776.61909090909,2432.11
0,14,3189.01,0,4600,0,4900.6,0,4600,0,16,514.09375,515
0,14,720.875714285714,0,2400,0,1524.09,0,2400,0,12,566.4175,423.155
1,14,6281.745,1022.89857142857,8785.71428571429,0.0714285714285714,12679.3,2837.12,12000,0,11,188.058181818182,217.3
0,14,318.525714285714,0,4100,0,0,0,4100,0,19,310.585263157895,248
0,14,769.056428571429,0,1800,0.0714285714285714,1453.2,0,1800,0,24,326.145833333333,315
0,14,2393.63285714286,7.50428571428571,3800,0,1863.45,0,3800,0,14,1164.39571428571,255.94
0,14,896.152857142857,0,12400,0,179.92,0,12400,0,13,941.118461538462,621.67
0,14,32.0207142857143,0,10100,0,0,0,10100,0,21,248.442857142857,199.68
0,14,586.287857142857,0,2400,0.285714285714286,497.49,0,2400,0,12,614.553333333333,668.99
0,14,527.162857142857,0,5971.42857142857,0.142857142857143,2471.04,0,6700,0,10,493.699,504.995
0,14,538.518571428571,0,5028.57142857143,0.0714285714285714,389.86,0,8600,0,10,583.106,305.2
0,14,315.140714285714,0,3450,0,306.03,0,4100,0,29,541.064482758621,300
0,14,807.525,0,2514.28571428571,0,1095.12,0,3300,0,12,750.449166666667,691.635
0,14,594.345714285714,0,15700,0,975.2,0,15700,0,12,515.166666666667,507.7
0,14,1826.63928571429,0,19900,0,2995,0,19900,0,12,1694.9125,1531.17
0,14,651.615,0,16100,0,1958.32,0,16100,0,12,715.72,208.27
0,14,924.453571428571,0,2500,0.285714285714286,704,0,2500,0,10,568.416,426
0,14,2495.93357142857,0,14800,0,1805.4,0,14800,0,12,2518.62833333333,2289.94
0,14,4241.37142857143,0,4400,0,4102.2,0,4400,0,17,242.73,250
0,14,430.357857142857,0,2300,0,1844.96,0,2300,0,12,489.803333333333,179.92
0,14,739.352142857143,0,17700,0,482.46,0,17700,0,12,727.330833333333,752.625
0,14,628.096428571429,0,17800,0.0714285714285714,633.15,0,17800,0,12,639.063333333333,651.525
0,14,699.5,0,4200,0,673.67,0,4200,0,12,652.411666666667,698.92
0,14,791.673571428571,0,1200,0,897.89,0,1200,0,143,80.0509090909091,37.44
0,14,688.425714285714,0,3300,0,381.78,0,3300,0,12,700.063333333333,635.22
0,14,408.628571428571,0,3871.42857142857,0.0714285714285714,124.12,0,7300,0,12,445.3975,224.03
0,14,983.577857142857,0,6800,0.0714285714285714,0,0,9300,0,6,2233.31333333333,1431.56
0,14,1141.87928571429,0,3600,0,980.5,0,3600,0,13,1105.37692307692,966
0,14,2215.335,0,15100,0,5690.34,0,15100,0,12,2279.29916666667,1722.435
0,14,209.735714285714,0,1200,0.0714285714285714,122.21,0,1200,0,11,206.595454545455,202
0,14,1082.26357142857,0,1700,0,1256.44,0,1700,0,56,86.3141071428571,52
0,14,382.923571428571,0,3300,0,173.34,0,3300,0,12,361.2575,272.165
0,14,442.846428571429,0,3671.42857142857,0,309.75,0,4300,0,12,439.0175,426.69
0,14,341.961428571429,0,1800,0,1113,0,1800,0,12,374.736666666667,304.32
0,14,154.277857142857,0,3100,0,242.76,0,3100,0,12,158.608333333333,145.09
0,14,446.58,0,3300,0,410.88,0,3300,0,12,420.8175,305.46
0,14,1296.77142857143,0,3600,0,1279.67,0,3600,0,12,1311.52,1285.99
0,14,494.103571428571,0,1300,0,498.78,0,1300,0,13,394.942307692308,412
0,14,663.633571428571,0,2300,0,654.05,0,2300,0,11,657.097272727273,604.24
0,14,1235.80642857143,0,4500,0.0714285714285714,955.51,0,4500,0,12,1287.75,1097.5
0,14,1305.61071428571,0,2700,0.0714285714285714,1598.58,0,2700,0,13,1136.83076923077,1213.34
0,14,258.445,0,6200,0,32.1,0,2200,0,28,292.434642857143,303
0,14,329.711428571429,0,3300,0,396.55,0,3300,0,12,342.3625,345.02
0,14,280.543571428571,0,8900,0,223.21,0,8900,0,12,290.469166666667,260.015
0,14,730.245714285714,0,6200,0,1124,0,6200,0,12,705.625,637.58
0,14,507.092857142857,0,19200,0.0714285714285714,75.19,0,19200,0,9,573.656666666667,618.12
0,14,3246.17714285714,0,18300,0,2106.3,0,18300,0,12,3123.43916666667,3161.83
0,14,748.485,0,7000,0,699.3,0,7000,0,12,629.910833333333,651.025
0,14,647.26,0,2600,0,861.08,0,3100,0,11,693.445454545455,449.45
0,14,900.238571428571,10.2264285714286,2600,0,212,0,2600,0,1,NA,NA
0,14,843.738571428571,0,5300,0,1955,0,5300,0,12,798.483333333333,699.445
0,14,950.232857142857,0,20900,0,1066.8,0,20900,0,12,978.17,888.9
0,14,432.659285714286,0,4500,0.214285714285714,344.5,0,4500,0,11,379.941818181818,331.7
0,14,5767.26142857143,52.3571428571429,6828.57142857143,0,6539.4,0,7300,0,32,404.15625,316.5
0,14,590.547142857143,0,5692.85714285714,0.142857142857143,839.28,0,5800,0,11,484.632727272727,407.04
0,14,4345.10928571429,95.5721428571429,10400,0,2723.15,405.01,10400,0,16,936.8725,209.41
0,14,469.506428571429,0,15900,0,264.18,0,15900,0,12,482.520833333333,370.995
0,14,767.210714285714,0,3614.28571428571,0,1146.35,0,4900,0,10,924.687,867.03
0,14,376.883571428571,0,1300,0,447,0,1300,0,1,NA,NA
0,14,544.64,0,5064.28571428571,0.0714285714285714,1083.32,0,6400,1,9,715.534444444444,536.36
0,14,600.198571428571,0,4300,0,569.59,0,4300,0,9,749.951111111111,372.36
0,14,763.304285714286,0,6800,0,0,0,6800,0,12,938.2025,734.075
0,14,961.707857142857,0,1300,0.214285714285714,898.88,0,1300,0,13,479.884615384615,520
0,14,975.680714285714,0,4200,0.214285714285714,1694.7,0,4200,1,10,735.132,665.15
0,14,124.625714285714,0,9900,0,155.82,0,9900,0,8,199.25375,206.595
0,14,1066.3,0,15800,0,463.22,0,15800,0,10,1271.212,879.075
0,14,2570.83214285714,0,5457.14285714286,0,4813.12,0,10100,0,13,1454.98153846154,1010
1,14,5344.12785714286,0,8300,0,5168.34,0,9200,0,11,314.561818181818,312.12
0,14,597.667142857143,0,2600,0.0714285714285714,581.94,0,2600,0,13,1075.88615384615,793.8
0,14,1608.51714285714,0,10600,0,1331.2,0,10600,0,12,1662.8775,1616.805
0,14,7404.85642857143,246.805714285714,7957.14285714286,0,8096.55,291.2,12600,0,19,418.681052631579,477.22
0,14,4716.02857142857,105.428571428571,15700,0,5994.14,0,15700,0,29,1146.56379310345,1010
0,14,680.152142857143,39.8285714285714,4600,0.0714285714285714,1115.88,204,4600,1,12,670.2075,441.56
0,14,8124.43642857143,0,9600,0,8193.12,0,9600,0,17,459.605882352941,500
0,14,0.144285714285714,0,4457.14285714286,0,0,0,5100,0,25,296.0284,67.41
0,14,1864.145,0,17000,0,1544.29,0,17000,0,1,NA,NA
0,14,1750.72142857143,0,6300,0,1684.05,0,6300,0,12,1812.78583333333,1563.12
0,14,370.828571428571,0,2500,0,649.78,0,2500,0,11,383.079090909091,331.5
0,14,608.182857142857,0,5000,0,767.35,0,5000,0,12,549.020833333333,530.115
0,14,116.325714285714,0,4400,0,45.15,0,4400,0,31,386.024193548387,179
0,14,323.667857142857,0,4407.14285714286,0,582.42,0,5800,0,12,310.429166666667,270
0,14,1247.73428571429,0,8300,0,1831.34,0,8300,0,12,1200.57,1265.725
0,14,31.2985714285714,0,3500,0,16.96,0,3500,0,16,67.560625,43.72
0,14,490.212857142857,0,7700,0,639.63,0,7700,0,12,464.765,410.605
0,14,15.0921428571429,0,2400,0,20.33,0,2400,0,20,422.0115,333.9
