"Default","FACTU_0_CurrentTotalBalance","FACTU_0_CashBalance","FACTU_0_CreditLimit","FACTU_0_DelqCycle","FACTU_1_CurrentTotalBalance","FACTU_1_CashBalance","FACTU_1_CreditLimit","FACTU_1_DelqCycle","FACTU_2_CurrentTotalBalance","FACTU_2_CashBalance","FACTU_2_CreditLimit","FACTU_2_DelqCycle","FACTU_3_CurrentTotalBalance","FACTU_3_CashBalance","FACTU_3_CreditLimit","FACTU_3_DelqCycle","FACTU_4_CurrentTotalBalance","FACTU_4_CashBalance","FACTU_4_CreditLimit","FACTU_4_DelqCycle","FACTU_5_CurrentTotalBalance","FACTU_5_CashBalance","FACTU_5_CreditLimit","FACTU_5_DelqCycle","FACTU_6_CurrentTotalBalance","FACTU_6_CashBalance","FACTU_6_CreditLimit","FACTU_6_DelqCycle","FACTU_7_CurrentTotalBalance","FACTU_7_CashBalance","FACTU_7_CreditLimit","FACTU_7_DelqCycle","FACTU_8_CurrentTotalBalance","FACTU_8_CashBalance","FACTU_8_CreditLimit","FACTU_8_DelqCycle","FACTU_9_CurrentTotalBalance","FACTU_9_CashBalance","FACTU_9_CreditLimit","FACTU_9_DelqCycle"
0,13119.6,4791.44,16200,0,12746.5,4818.48,16200,0,12388.46,4786.08,16200,0,11417.12,4616.46,16200,0,10610.05,4753.35,16200,0,10560,5127.54,16200,0,12746.5,4818.48,16200,0,12746.5,4818.48,16200,0,12746.5,4818.48,16200,0,12746.5,4818.48,16200,0
0,266.06,0,2800,0,689.52,20,2800,0,489.72,0,2800,0,410.88,0,2800,0,243.41,0,2800,0,416,0,2800,0,689.52,20,2800,0,689.52,20,2800,0,689.52,20,2800,0,689.52,20,2800,0
0,553,0,5800,0,1292.34,0,5800,0,318.15,0,5800,0,229.84,0,5800,0,189.28,0,5800,0,254.8,0,5800,0,1292.34,0,5800,0,1292.34,0,5800,0,1292.34,0,5800,0,1292.34,0,5800,0
0,240.45,0,1600,0,630.24,0,1600,0,285.6,0,1600,0,1083.56,0,1600,0,661.26,0,1600,0,548.02,0,1600,0,630.24,0,1600,0,630.24,0,1600,0,630.24,0,1600,0,630.24,0,1600,0
0,1269.45,0,3800,0,1142.4,0,3800,0,1672.56,0,3800,0,1275.14,0,3800,0,1822.08,0,3800,0,1515.72,0,3800,0,1142.4,0,3800,0,1142.4,0,3800,0,1142.4,0,3800,0,1142.4,0,3800,0
0,577.83,0,1200,0,339.15,0,1200,0,895.65,17,1200,0,38.11,0,1200,0,474,0,1200,0,596.7,557.94,1200,0,339.15,0,1200,0,339.15,0,1200,0,339.15,0,1200,0,339.15,0,1200,0
0,1642,0,3000,1,1429.05,0,3000,0,520.15,0,3000,0,543.56,0,3000,0,317.24,0,3000,0,36.36,0,3000,0,1429.05,0,3000,0,1429.05,0,3000,0,1429.05,0,3000,0,1429.05,0,3000,0
0,705.55,0,2600,0,1428.88,0,2600,0,651,0,2600,0,1129.91,0,2600,0,382.13,0,2600,0,895.59,0,2600,0,1428.88,0,2600,0,1428.88,0,2600,0,1428.88,0,2600,0,1428.88,0,2600,0
0,1462.65,0,8800,0,781.77,0,8800,0,0,0,8800,0,237.12,0,8800,0,788.64,0,8800,0,973.64,0,8800,0,781.77,0,8800,0,781.77,0,8800,0,781.77,0,8800,0,781.77,0,8800,0
0,400.86,0,3300,0,225.68,0,3300,0,210.94,0,3300,0,531.26,0,3300,0,204,0,3300,0,585,0,3300,0,225.68,0,3300,0,225.68,0,3300,0,225.68,0,3300,0,225.68,0,3300,0
